Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
1/1/2019,151200,Female,19.0,Single,Kansas,Basic,Unemployment,Other,1.0,2051.36
1/1/2019,151201,Male,49.0,Single,Illinois,Basic,self-employed,Card,0.0,544.04
1/1/2019,151202,Male,63.0,Married,New Mexico,Basic,workers,PayPal,1.0,1572.6
1/3/2019,151205,Male,71.0,Single,Hawaii,Basic,Employees,PayPal,1.0,2922.66
1/3/2019,151206,Female,34.0,Married,New Mexico,Platinum,Employees,PayPal,1.0,1481.42
1/3/2019,151207,Male,37.0,Married,Connecticut,Basic,workers,PayPal,1.0,1149.55
1/4/2019,151208,Male,75.0,Married,Florida,Silver,Employees,Card,0.0,1046.2
1/4/2019,151209,Female,41.0,Married,Vermont,Gold,Unemployment,Card,1.0,2730.6
1/4/2019,151210,Female,56.0,Married,California,Basic,Employees,PayPal,0.0,1712.82
1/5/2019,151211,Female,63.0,Married,Colorado,Basic,workers,Other,1.0,154.31
1/5/2019,151212,Female,60.0,Married,Iowa,Basic,self-employed,Card,1.0,819.08
1/5/2019,151213,Male,47.0,Single,South Carolina,Basic,Employees,PayPal,1.0,1719.83
1/5/2019,151214,Male,24.0,Married,Colorado,Platinum,self-employed,Other,1.0,954.12
1/6/2019,151215,Male,16.0,Single,New York,Platinum,workers,Other,1.0,1005.92
1/6/2019,151216,Female,72.0,Married,Maine,Silver,self-employed,PayPal,1.0,2882.77
1/7/2019,151217,Female,77.0,Married,New Mexico,Platinum,workers,Card,0.0,2999.98
1/7/2019,151218,Male,42.0,Married,Maryland,Basic,self-employed,Other,0.0,1902.73
1/8/2019,151219,Female,46.0,Married,Missouri,Basic,Employees,Card,1.0,2968.95
1/8/2019,151221,Male,42.0,Married,North Dakota,Silver,workers,PayPal,0.0,995.77
1/8/2019,151222,Female,50.0,Married,Ohio,Missing,workers,Card,0.0,719.13
1/9/2019,151223,Male,47.0,Single,Nebraska,Basic,self-employed,PayPal,1.0,2407.36
1/10/2019,151224,Female,32.0,Single,Montana,Basic,Employees,PayPal,0.0,2737.41
1/11/2019,151225,Male,25.0,Married,Indiana,Basic,self-employed,Other,1.0,1514.75
1/12/2019,151226,Male,33.0,Married,Wisconsin,Basic,self-employed,Card,1.0,293.58
1/12/2019,151227,Male,61.0,Married,Alabama,Platinum,workers,Card,1.0,1094.67
1/12/2019,151228,Male,75.0,Married,Alabama,Basic,self-employed,PayPal,1.0,233.05
1/13/2019,151231,Female,21.0,Single,Montana,Basic,Employees,Card,0.0,2035.07
1/13/2019,151232,Male,39.0,Single,Arkansas,Basic,Employees,Other,0.0,128.29
1/14/2019,151233,Male,15.0,Married,Missouri,Gold,self-employed,Card,1.0,628.93
1/14/2019,151234,Female,59.0,Married,Pennsylvania,Basic,Employees,Card,0.0,1729.36
1/14/2019,151235,Male,70.0,Married,New Hampshire,Silver,workers,Other,1.0,2040.29
1/14/2019,151236,Male,75.0,Married,Washington,Platinum,Employees,PayPal,1.0,2744.88
1/16/2019,151237,Male,64.0,Married,Texas,Missing,Employees,PayPal,1.0,351.88
1/16/2019,151238,Female,64.0,Married,Ohio,Silver,Unemployment,Other,0.0,692.14
1/17/2019,151239,Male,64.0,Married,New York,Silver,Unemployment,PayPal,1.0,2418.62
1/17/2019,151240,Female,21.0,Married,Kentucky,Basic,workers,Card,0.0,2734.15
1/17/2019,151241,Female,46.0,Married,New Mexico,Silver,workers,PayPal,1.0,2851.83
1/17/2019,151242,Female,16.0,Single,Texas,Gold,self-employed,PayPal,1.0,938.16
1/18/2019,151243,Female,63.0,Married,Maine,Gold,workers,PayPal,1.0,281.92
1/19/2019,151244,Male,75.0,Single,Massachusetts,Basic,Employees,PayPal,1.0,747.68
1/20/2019,151245,Male,70.0,Married,Wyoming,Basic,Unemployment,Card,1.0,1784.15
1/20/2019,151246,Male,41.0,Single,Kentucky,Missing,Employees,PayPal,1.0,1115.9
1/21/2019,151247,Male,33.0,Married,Florida,Silver,Employees,Other,0.0,1902.47
1/21/2019,151248,Female,64.0,Single,Massachusetts,Platinum,self-employed,Card,1.0,1949.92
1/22/2019,151250,Female,16.0,Married,Maryland,Silver,Employees,PayPal,1.0,583.72
1/22/2019,151251,Male,56.0,Single,Louisiana,Basic,self-employed,Card,0.0,2445.03
1/22/2019,151252,Male,35.0,Married,North Carolina,Basic,Unemployment,PayPal,1.0,1107.96
1/23/2019,151253,Male,51.0,Single,Kentucky,Basic,self-employed,PayPal,1.0,1312.78
1/23/2019,151254,Male,15.0,Married,Illinois,Basic,Employees,Card,1.0,2690.18
1/24/2019,151255,Male,26.0,Single,Rhode Island,Basic,workers,PayPal,1.0,2603.22
1/25/2019,151256,Female,67.0,Single,Iowa,Gold,Employees,PayPal,1.0,611.7
1/25/2019,151257,Male,71.0,Single,Massachusetts,Gold,Employees,PayPal,1.0,2569.67
1/25/2019,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
1/26/2019,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
1/26/2019,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
1/27/2019,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
1/25/2019,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
1/26/2019,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
1/26/2019,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
1/27/2019,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
1/27/2019,151264,Male,52.0,Married,Tennessee,Basic,self-employed,PayPal,1.0,2850.48
1/27/2019,151265,Female,30.0,Single,California,Silver,workers,Card,0.0,1947.2
1/29/2019,151266,Male,24.0,Married,Colorado,Platinum,workers,PayPal,0.0,1731.54
1/29/2019,151270,Male,24.0,Married,Oregon,Silver,workers,Other,1.0,1663.72
1/30/2019,151273,Female,73.0,Married,Alaska,Platinum,self-employed,PayPal,0.0,1364.31
1/30/2019,151274,Male,50.0,Single,Oklahoma,Missing,Employees,Card,1.0,2943.46
1/30/2019,151275,Male,28.0,Single,Connecticut,Basic,Unemployment,Card,1.0,2768.15
